yymmdd,day_of_year,Depth,Chl,Temp,Sal,O2,NO3,PO4,POC,PON,POP,TOC,TON,TOP,BAC,PP,year,month,day
2004-07-14,196.0,1.0,0.391,27.135,36.655,202.0,0.0,0.0,26.49,3.86,0.011,65.4,4.3,51.0,4.8,0.7,2004,7,14
2004-07-14,196.0,20.0,0.373,25.45,36.773,208.8,0.0,0.0,36.91,6.09,0.012,67.0,4.4,55.0,5.2,4.95,2004,7,14
2004-07-14,196.0,40.0,0.348,23.198,36.815,227.5,0.0,0.0,40.06,5.25,0.01,66.6,4.4,61.0,5.3,3.03,2004,7,14
2004-07-14,196.0,60.0,0.291,21.477,36.786,226.8,0.0,0.0,40.53,5.65,0.012,65.1,4.6,47.0,5.2,1.46,2004,7,14
2004-07-14,196.0,80.0,0.321,20.651,36.733,221.5,0.0,0.0,38.08,4.98,0.014,60.8,4.4,80.0,5.6,2.23,2004,7,14
2004-07-14,196.0,100.0,0.275,19.651,36.674,212.0,0.2,0.0,33.8,5.03,0.014,58.3,4.6,63.0,4.9,1.23,2004,7,14
2004-07-14,196.0,120.0,0.214,19.671,36.674,215.7,0.0,0.0,22.45,3.12,0.014,56.7,4.7,70.0,3.6,1.15,2004,7,14
2004-07-14,196.0,140.0,0.149,19.29,36.635,212.5,0.45,0.0,21.77,3.18,0.014,55.2,4.7,162.0,3.2,0.39,2004,7,14
2004-08-17,230.0,1.0,0.042,28.48,36.845,204.5,0.0,0.0,24.57,3.74,0.011,66.5,4.6,65.0,4.4,3.44,2004,8,17
2004-08-17,230.0,20.0,0.045,27.475,36.911,205.4,0.0,0.0,24.74,4.13,0.009,66.1,3.8,78.0,4.8,4.35,2004,8,17
2004-08-17,230.0,40.0,0.05,27.109,36.915,203.7,0.0,0.0,17.36,3.12,0.011,65.5,3.7,48.0,4.3,4.91,2004,8,17
2004-08-17,230.0,60.0,0.093,24.413,36.922,223.8,0.0,0.0,25.81,3.91,0.011,64.5,3.4,59.0,3.6,2.0,2004,8,17
2004-08-17,230.0,80.0,0.157,23.107,36.838,228.1,0.0,0.0,29.69,4.13,0.013,62.9,4.8,64.0,6.2,3.66,2004,8,17
2004-08-17,230.0,100.0,0.237,21.354,36.802,219.3,0.0,0.0,20.94,4.13,0.01,61.1,3.7,81.0,6.2,2.47,2004,8,17
2004-08-17,230.0,120.0,0.343,20.791,36.776,215.6,0.0,0.0,17.81,3.35,0.01,58.8,3.8,68.0,4.8,1.95,2004,8,17
2004-08-17,230.0,140.0,0.08,20.116,36.699,212.6,0.09,0.0,18.75,3.3,0.008,57.9,4.9,62.0,3.5,0.65,2004,8,17
2004-09-14,258.0,1.0,0.0,28.109,36.496,201.7,0.0,0.0,29.69,0.0,0.006,66.8,4.2,53.0,4.9,5.22,2004,9,14
2004-09-14,258.0,20.0,0.046,28.049,36.537,199.0,0.0,0.0,28.46,2.77,0.008,67.2,4.0,78.0,5.7,5.33,2004,9,14
2004-09-14,258.0,40.0,0.082,24.499,36.659,226.5,0.0,0.0,36.54,3.95,0.008,65.6,4.1,75.0,7.6,5.04,2004,9,14
2004-09-14,258.0,60.0,0.06,22.346,36.635,227.0,0.0,0.0,34.21,4.56,0.008,62.0,4.5,87.0,7.2,3.7,2004,9,14
