year,month,day,day_of_year,sin_doy,cos_doy,Depth,Chl,Temp,Sal,O2,NO3,PO4,POC,PON,POP,BAC,PP
1993,2,9,40,0.6354323008901774,0.7721565844991642,1.0,0.273,20.22,36.67,217.4,0.0,0.0,23.45,5.07,0.013,4.5,2.91
1993,2,9,40,0.6354323008901774,0.7721565844991642,20.0,0.283,20.152,36.666,216.9,0.0,0.0,25.11,5.32,0.011,4.3,5.81
1993,2,9,40,0.6354323008901774,0.7721565844991642,40.0,0.283,20.151,36.668,216.9,0.0,0.0,25.94,5.52,0.011,4.3,5.99
1993,2,9,40,0.6354323008901774,0.7721565844991642,60.0,0.341,20.133,36.679,215.7,0.0,0.0,22.13,4.81,0.012,6.2,3.14
1993,2,9,40,0.6354323008901774,0.7721565844991642,80.0,0.312,20.144,36.679,214.6,0.0,0.0,21.24,4.62,0.012,5.8,1.13
1993,2,9,40,0.6354323008901774,0.7721565844991642,100.0,0.244,20.122,36.682,218.2,0.13,0.0,17.21,3.54,0.011,4.8,0.49
1993,2,9,40,0.6354323008901774,0.7721565844991642,120.0,0.097,19.982,36.669,209.5,0.83,0.0,8.87,2.02,0.011,4.7,0.12
1993,2,9,40,0.6354323008901774,0.7721565844991642,140.0,0.019,19.14,36.624,197.0,2.41,0.08,11.26,2.2,0.007,3.9,0.08
1993,3,30,89,0.9992500112396835,0.03872228089217446,1.0,0.068,20.335,36.703,224.2,0.0,0.0,26.46,4.93,0.011,5.2,4.53
1993,3,30,89,0.9992500112396835,0.03872228089217446,20.0,0.068,20.133,36.709,225.1,0.0,0.0,25.31,4.6,0.011,5.6,1.16
1993,3,30,89,0.9992500112396835,0.03872228089217446,40.0,0.097,19.968,36.71,225.4,0.0,0.0,26.23,4.73,0.011,5.8,2.11
1993,3,30,89,0.9992500112396835,0.03872228089217446,60.0,0.195,19.909,36.705,225.5,0.0,0.0,29.59,5.13,0.013,6.4,4.06
1993,3,30,89,0.9992500112396835,0.03872228089217446,80.0,0.244,19.794,36.696,224.0,0.0,0.0,24.88,5.5,0.013,5.5,6.66
1993,3,30,89,0.9992500112396835,0.03872228089217446,100.0,0.312,19.429,36.653,223.7,0.0,0.0,24.13,5.86,0.011,6.0,1.26
1993,3,30,89,0.9992500112396835,0.03872228089217446,120.0,0.175,19.055,36.62,198.5,1.75,0.0,15.85,3.66,0.011,3.3,1.15
1993,3,30,89,0.9992500112396835,0.03872228089217446,140.0,0.078,18.938,36.612,199.9,2.5,0.07,9.1,2.33,0.005,2.4,0.24
1993,4,14,104,0.9760105506323683,-0.21772323039653177,1.0,0.068,20.815,36.753,222.7,0.0,0.0,16.93,2.9,0.01,4.7,2.87
1993,4,14,104,0.9760105506323683,-0.21772323039653177,20.0,0.068,20.806,36.751,222.9,0.0,0.0,19.66,3.44,0.01,4.5,4.46
1993,4,14,104,0.9760105506323683,-0.21772323039653177,40.0,0.068,20.773,36.749,222.5,0.0,0.0,17.0,2.93,0.008,4.8,3.84
1993,4,14,104,0.9760105506323683,-0.21772323039653177,60.0,0.068,20.767,36.748,222.5,0.0,0.0,15.27,2.54,0.008,5.3,3.87
1993,4,14,104,0.9760105506323683,-0.21772323039653177,80.0,0.117,20.415,36.726,225.7,0.0,0.0,24.21,4.27,0.008,5.9,4.19
1993,4,14,104,0.9760105506323683,-0.21772323039653177,100.0,0.224,20.143,36.718,222.0,0.0,0.0,20.91,4.07,0.011,5.6,5.08
1993,4,14,104,0.9760105506323683,-0.21772323039653177,120.0,0.224,19.575,36.674,222.0,0.0,0.0,20.91,4.07,0.011,5.6,1.38
1993,4,14,104,0.9760105506323683,-0.21772323039653177,140.0,0.097,19.308,36.631,211.5,1.1,0.0,10.39,2.23,0.006,2.7,0.65
1993,5,9,129,0.7961828637826158,-0.6050560696488488,1.0,0.098,21.55,36.542,226.4,0.0,0.08,35.7,4.99,0.015,5.8,4.73
1993,5,9,129,0.7961828637826158,-0.6050560696488488,80.0,0.283,19.106,36.603,219.8,1.23,0.13,40.25,7.95,0.011,6.2,3.1
1993,5,9,129,0.7961828637826158,-0.6050560696488488,100.0,0.575,19.029,36.603,218.8,1.3,0.05,26.8,5.12,0.006,4.9,0.31
1993,5,9,129,0.7961828637826158,-0.6050560696488488,120.0,0.575,19.029,36.603,218.8,1.3,0.05,26.8,5.12,0.006,4.9,0.09
1993,5,9,129,0.7961828637826158,-0.6050560696488488,140.0,0.019,18.729,36.595,216.8,1.91,0.15,10.29,2.09,0.006,3.6,-0.02
1993,6,14,165,0.29671281927349075,-0.9549667548552551,1.0,0.049,23.619,36.697,209.7,0.0,0.0,22.79,3.51,0.017,4.6,2.69
1993,6,14,165,0.29671281927349075,-0.9549667548552551,20.0,0.049,23.9,36.759,209.9,0.0,0.0,27.29,3.71,0.016,4.5,2.56
1993,6,14,165,0.29671281927349075,-0.9549667548552551,40.0,0.068,22.339,36.67,220.8,0.0,0.0,27.83,4.16,0.016,6.1,2.13
1993,6,14,165,0.29671281927349075,-0.9549667548552551,60.0,0.136,20.798,36.649,227.9,0.0,0.0,35.39,5.87,0.023,6.6,1.31
1993,6,14,165,0.29671281927349075,-0.9549667548552551,80.0,0.253,20.107,36.62,226.7,0.0,0.0,28.0,5.14,0.023,6.7,1.04
1993,6,14,165,0.29671281927349075,-0.9549667548552551,100.0,0.283,19.485,36.618,222.8,0.0,0.0,29.0,4.95,0.019,4.6,0.83
1993,6,14,165,0.29671281927349075,-0.9549667548552551,120.0,0.185,19.283,36.611,210.5,0.88,0.0,29.0,4.95,0.019,3.4,0.39
1993,6,14,165,0.29671281927349075,-0.9549667548552551,140.0,0.185,19.089,36.611,209.3,1.58,0.05,17.23,2.24,0.01,2.5,0.13
1993,7,13,194,-0.19667288979357622,-0.9804691603616321,1.0,0.039,26.97,36.743,205.7,0.0,0.06,24.17,3.22,0.014,5.2,3.29
1993,7,13,194,-0.19667288979357622,-0.9804691603616321,20.0,0.039,25.421,36.693,215.5,0.0,0.06,25.3,3.42,0.014,5.7,2.83
1993,7,13,194,-0.19667288979357622,-0.9804691603616321,40.0,0.049,23.271,36.634,227.4,0.0,0.0,30.48,4.27,0.014,6.6,2.97
1993,7,13,194,-0.19667288979357622,-0.9804691603616321,60.0,0.078,20.756,36.694,234.3,0.0,0.06,26.39,3.67,0.013,6.6,3.11
1993,7,13,194,-0.19667288979357622,-0.9804691603616321,80.0,0.136,20.319,36.684,226.2,0.0,0.06,24.48,3.74,0.013,6.0,2.21
1993,7,13,194,-0.19667288979357622,-0.9804691603616321,100.0,0.205,19.727,36.665,217.4,0.0,0.0,25.1,4.41,0.011,5.1,1.33
1993,7,13,194,-0.19667288979357622,-0.9804691603616321,120.0,0.283,19.287,36.627,212.1,0.3,0.0,17.58,3.55,0.011,4.7,1.36
1993,7,13,194,-0.19667288979357622,-0.9804691603616321,140.0,0.097,19.075,36.611,198.7,1.42,0.08,17.46,3.15,0.008,4.0,0.46
1993,8,18,230,-0.7295575540864876,-0.6839194216246105,1.0,0.059,27.462,36.645,200.3,0.0,0.04,18.91,2.72,0.007,4.2,2.16
1993,8,18,230,-0.7295575540864876,-0.6839194216246105,20.0,0.068,27.218,36.676,210.6,0.0,0.0,20.84,3.05,0.004,4.6,1.19
1993,8,18,230,-0.7295575540864876,-0.6839194216246105,40.0,0.068,23.986,36.729,228.3,0.0,0.0,27.88,3.69,0.004,7.0,0.62
1993,8,18,230,-0.7295575540864876,-0.6839194216246105,60.0,0.117,21.882,36.702,236.8,0.0,0.0,28.38,3.88,0.01,8.0,1.2
1993,8,18,230,-0.7295575540864876,-0.6839194216246105,80.0,0.137,21.405,36.693,232.3,0.0,0.0,26.18,4.07,0.01,7.7,0.6
1993,8,18,230,-0.7295575540864876,-0.6839194216246105,100.0,0.156,20.505,36.691,216.4,0.0,0.0,17.81,3.24,0.009,6.3,0.38
1993,8,18,230,-0.7295575540864876,-0.6839194216246105,120.0,0.136,19.815,36.663,213.0,0.0,0.0,16.63,2.72,0.009,4.6,0.2
1993,8,18,230,-0.7295575540864876,-0.6839194216246105,140.0,0.078,19.253,36.632,198.4,0.43,0.0,11.76,1.82,0.006,3.7,0.16
1993,9,14,257,-0.9587178169872964,-0.2843591872810036,1.0,0.049,27.135,36.416,203.0,0.0,0.05,25.86,4.18,0.008,4.1,4.94
1993,9,14,257,-0.9587178169872964,-0.2843591872810036,20.0,0.078,27.134,36.416,201.9,0.0,0.0,23.48,3.99,0.008,3.8,4.43
1993,9,14,257,-0.9587178169872964,-0.2843591872810036,40.0,0.098,23.295,36.567,226.2,0.0,0.0,28.74,4.89,0.008,6.2,4.67
1993,9,14,257,-0.9587178169872964,-0.2843591872810036,60.0,0.127,22.437,36.601,225.0,0.0,0.0,28.89,4.89,0.011,6.5,4.64
1993,9,14,257,-0.9587178169872964,-0.2843591872810036,80.0,0.185,20.198,36.609,210.5,0.0,0.04,45.4,8.72,0.011,7.5,6.12
1993,9,14,257,-0.9587178169872964,-0.2843591872810036,100.0,0.283,20.364,36.64,206.4,0.63,0.0,22.29,4.32,0.011,5.1,1.27
1993,9,14,257,-0.9587178169872964,-0.2843591872810036,120.0,0.136,19.855,36.64,202.3,1.56,0.07,15.0,3.17,0.011,3.8,0.37
1993,9,14,257,-0.9587178169872964,-0.2843591872810036,140.0,0.088,18.855,36.597,203.4,1.88,0.1,10.31,1.72,0.004,2.6,0.07
