day_of_year,Depth,Chl,Temp,Sal,O2,NO3,PO4,POC,PON,POP,TOC,TON,TOP,BAC,year,month,day,PP
353.0,5.0,0.095,21.45,36.597430243073234,204.4,0.0,0.0,25.35,3.28,0.009552633968759106,63.000845256116556,4.94562652454141,89.52988275442362,3.7304346422354797,1988.0,12.0,18.0,6.15
353.0,25.0,0.089,21.45,36.593063179178486,204.0,0.0,0.0,23.62,3.42,0.009147851746655444,62.437095550824985,5.010074259864268,87.26400651510266,3.655112786522544,1988.0,12.0,18.0,
353.0,50.0,0.093,21.799,36.585953975393764,203.2,0.0,0.0,21.79,3.33,0.008582154028954403,61.9232870112312,5.062675444669708,85.38944072122013,3.5351728900919106,1988.0,12.0,18.0,2.15
353.0,75.0,0.122,21.57,36.58937119608172,203.2,0.06,0.0,32.69,4.02,0.009473416405685608,60.70635087447908,4.973385158884398,84.21480301001702,3.7024904947708848,1988.0,12.0,18.0,0.29
353.0,100.0,0.11,19.736,36.596816880685516,194.5,0.23,0.03,15.15,1.94,0.006712542038219249,57.49546939174929,5.292364466003036,91.72508419985229,2.456850846237595,1988.0,12.0,18.0,2.85
353.0,120.0,0.045,19.44,36.594231124427786,190.7,0.58,0.0,21.82,2.08,0.006587587484866209,55.83318885188405,5.358068884158698,94.58822678618776,2.2016452690048105,1988.0,12.0,18.0,0.16
27.0,18.0,0.097,20.853,36.633408840047096,217.6,0.07,0.0,19.74,3.46,0.012715930662023589,62.510363080898706,5.18551131928659,94.48029274124451,4.301703770410121,1989.0,1.0,27.0,3.78
27.0,41.0,0.091,20.784,36.65654411401695,229.5,0.06,0.04,15.66,2.49,0.012568239158914807,62.873322127159945,5.157412309008464,99.56086892287249,4.6838776226429495,1989.0,1.0,27.0,3.5
27.0,62.0,0.095,20.885,36.657918926702486,231.6,0.12,0.03,14.21,2.25,0.012317318106570274,62.47488904174486,5.198431558687531,101.46470367475399,4.681193378877335,1989.0,1.0,27.0,2.02
27.0,81.0,0.088,20.772,36.64793261865951,226.5,0.07,0.03,14.56,2.6,0.01180065112503531,61.39288579302716,5.247577256680955,95.14701137079805,4.422057203576266,1989.0,1.0,27.0,0.77
