yymmdd,day_of_year,Depth,Chl,Temp,Sal,O2,NO3,PO4,POC,PON,POP,TOC,TON,TOP,BAC,PP
1989-06-22,173.0,39.0,0.05,21.209,36.588,230.9,0.0,0.0,22.16,3.46,#N/A,#N/A,#N/A,#N/A,4.8,1.86
1989-06-22,173.0,53.0,0.069,20.655,36.597,232.9,0.0,0.0,27.95,4.34,#N/A,#N/A,#N/A,#N/A,5.2,-999.0
1989-06-22,173.0,66.0,0.091,20.062,36.613,234.6,0.0,0.05,27.88,4.15,#N/A,#N/A,#N/A,#N/A,5.1,3.92
1989-07-20,201.0,1.0,0.033,27.084,36.431,200.8,0.0,0.0,11.63,1.46,#N/A,#N/A,#N/A,#N/A,3.5,4.06
1989-07-20,201.0,20.0,0.037,26.79,36.472,200.8,0.0,0.0,19.83,2.56,#N/A,#N/A,#N/A,#N/A,5.5,4.3
1989-07-20,201.0,40.0,0.037,22.67,36.695,222.4,0.0,0.0,22.03,2.74,#N/A,#N/A,#N/A,#N/A,5.5,3.76
1989-07-20,201.0,60.0,0.092,21.244,36.652,223.6,0.0,0.0,24.71,3.78,#N/A,#N/A,#N/A,#N/A,4.0,3.75
1989-07-20,201.0,80.0,0.092,20.371,36.64,215.0,0.53,0.0,20.86,2.52,#N/A,#N/A,#N/A,#N/A,4.0,3.61
1989-07-20,201.0,100.0,0.245,19.788,36.63,205.2,0.08,0.0,21.6,3.75,#N/A,#N/A,#N/A,#N/A,3.4,3.35
1989-08-16,228.0,1.0,0.033,26.281,36.491,204.5,0.0,0.0,23.84,3.6,#N/A,#N/A,#N/A,#N/A,3.6,2.75
1989-08-16,228.0,20.0,0.042,26.116,36.495,205.4,0.0,0.0,32.14,4.52,#N/A,#N/A,#N/A,#N/A,3.4,5.39
1989-08-16,228.0,40.0,0.053,24.367,36.607,219.6,0.0,0.0,29.62,4.09,#N/A,#N/A,#N/A,#N/A,4.3,2.83
1989-08-16,228.0,60.0,0.079,21.567,36.608,243.7,0.0,0.0,24.05,3.63,#N/A,#N/A,#N/A,#N/A,6.3,2.41
1989-08-16,228.0,80.0,0.094,20.515,36.625,228.7,0.0,0.0,42.95,5.9,#N/A,#N/A,#N/A,#N/A,5.1,0.87
1989-08-16,228.0,100.0,0.235,19.559,36.617,215.4,0.71,0.0,23.08,4.18,#N/A,#N/A,#N/A,#N/A,2.4,0.38
1989-08-16,228.0,120.0,0.134,19.201,36.608,209.0,0.99,0.0,14.12,2.4,#N/A,#N/A,#N/A,#N/A,2.1,0.89
1989-08-16,228.0,140.0,0.035,18.993,36.589,211.1,2.32,0.03,7.38,1.26,#N/A,#N/A,#N/A,#N/A,1.1,0.21
1989-10-20,293.0,1.0,0.122,26.181,36.632,205.3,0.42,0.04,18.75,2.63,#N/A,#N/A,#N/A,#N/A,4.5,4.46
1989-10-20,293.0,20.0,0.057,25.835,36.686,201.0,0.06,0.0,29.61,2.91,#N/A,#N/A,#N/A,#N/A,4.1,4.09
1989-10-20,293.0,40.0,0.083,25.729,36.681,202.3,0.1,0.0,29.07,2.57,#N/A,#N/A,#N/A,#N/A,4.3,1.12
1989-10-20,293.0,60.0,0.083,23.573,36.617,215.7,1.2,0.0,20.7,2.97,#N/A,#N/A,#N/A,#N/A,4.3,1.84
