yymmdd,year,month,day,day_of_year,Depth,Temp,Sal,O2,NO3,PO4,POC,PON,BAC,PP
1992-10-14,1992,10,14,288,1.0,25.124,36.338,207.1,0.0,0.0,24.14,5.15,5.7,4.66
1992-10-14,1992,10,14,288,20.0,25.12,36.345,206.3,0.0,0.0,22.9,4.94,5.7,5.4
1992-10-14,1992,10,14,288,40.0,25.121,36.346,205.9,0.0,0.0,23.11,4.17,5.9,4.47
1992-10-14,1992,10,14,288,60.0,24.411,36.396,209.4,0.0,0.0,27.11,5.15,6.6,5.88
1992-10-14,1992,10,14,288,80.0,21.355,36.64,193.7,1.81,0.08,23.31,4.93,4.3,3.44
1992-10-14,1992,10,14,288,100.0,20.62,36.685,197.6,1.91,0.1,12.86,2.9,2.7,0.89
1992-10-14,1992,10,14,288,120.0,19.865,36.673,204.5,1.55,0.07,9.52,2.23,2.1,0.18
1992-10-14,1992,10,14,288,140.0,19.231,36.639,201.2,2.15,0.09,6.01,1.63,2.5,0.05
1992-11-12,1992,11,12,317,1.0,23.734,36.545,211.2,0.0,0.04,22.8,3.68,4.9,2.99
1992-11-12,1992,11,12,317,20.0,23.792,36.543,210.2,0.0,0.0,23.16,3.81,5.6,3.98
1992-11-12,1992,11,12,317,40.0,23.75,36.544,210.2,0.0,0.0,22.9,3.81,6.1,4.04
1992-11-12,1992,11,12,317,60.0,23.762,36.542,210.7,0.0,0.0,21.6,3.63,4.2,2.39
1992-11-12,1992,11,12,317,80.0,23.749,36.543,209.2,0.0,0.0,21.31,3.43,5.9,1.35
1992-11-12,1992,11,12,317,120.0,20.382,36.686,204.3,0.99,0.0,14.65,2.53,2.7,0.78
1992-11-12,1992,11,12,317,140.0,19.49,36.627,206.9,1.19,0.12,10.89,1.99,2.7,0.1
1993-01-12,1993,1,12,12,1.0,21.108,36.657,222.2,0.0,0.0,19.6,3.34,4.7,4.48
1993-01-12,1993,1,12,12,20.0,21.027,36.654,220.0,0.0,0.0,17.99,3.09,5.1,4.93
1993-01-12,1993,1,12,12,40.0,20.979,36.655,220.2,0.0,0.0,21.18,3.28,5.4,4.28
1993-01-12,1993,1,12,12,60.0,20.985,36.658,219.5,0.0,0.0,16.11,2.96,5.2,2.87
1993-01-12,1993,1,12,12,80.0,20.967,36.657,218.7,0.0,0.0,13.6,2.58,5.0,1.69
1993-01-12,1993,1,12,12,100.0,20.938,36.649,221.6,0.0,0.0,17.16,2.9,5.5,0.8
1993-01-12,1993,1,12,12,120.0,19.245,36.606,221.6,1.63,0.0,6.27,0.93,2.4,0.33
1993-01-12,1993,1,12,12,140.0,19.2,36.592,202.2,1.63,0.0,6.27,0.93,2.4,0.16
1993-02-09,1993,2,9,40,1.0,20.22,36.67,217.4,0.0,0.0,23.45,5.07,4.5,2.91
1993-02-09,1993,2,9,40,20.0,20.152,36.666,216.9,0.0,0.0,25.11,5.32,4.3,5.81
1993-02-09,1993,2,9,40,40.0,20.151,36.668,216.9,0.0,0.0,25.94,5.52,4.3,5.99
1993-02-09,1993,2,9,40,60.0,20.133,36.679,215.7,0.0,0.0,22.13,4.81,6.2,3.14
1993-02-09,1993,2,9,40,80.0,20.144,36.679,214.6,0.0,0.0,21.24,4.62,5.8,1.13
1993-02-09,1993,2,9,40,100.0,20.122,36.682,218.2,0.13,0.0,17.21,3.54,4.8,0.49
1993-02-09,1993,2,9,40,120.0,19.982,36.669,209.5,0.83,0.0,8.87,2.02,4.7,0.12
1993-02-09,1993,2,9,40,140.0,19.14,36.624,197.0,2.41,0.08,11.26,2.2,3.9,0.08
1993-02-25,1993,2,25,56,1.0,19.569,36.639,223.0,0.19,0.0,25.57,5.32,6.1,14.31
1993-02-25,1993,2,25,56,20.0,19.717,36.654,223.7,0.17,0.0,25.57,5.32,6.4,12.73
1993-02-25,1993,2,25,56,40.0,19.586,36.638,222.9,0.14,0.0,26.94,5.57,6.4,7.86
1993-02-25,1993,2,25,56,60.0,19.638,36.641,222.7,0.14,0.0,31.65,7.85,6.5,3.02
1993-02-25,1993,2,25,56,80.0,19.593,36.638,222.9,0.2,0.0,28.13,6.66,6.4,1.07
1993-02-25,1993,2,25,56,100.0,19.646,36.643,223.2,0.19,0.0,27.07,6.08,5.8,0.41
1993-02-25,1993,2,25,56,120.0,19.603,36.64,223.4,0.21,0.0,22.2,5.14,5.2,0.13
1993-02-25,1993,2,25,56,140.0,19.371,36.634,222.6,0.19,0.0,22.2,5.14,6.3,0.01
1993-03-10,1993,3,10,69,1.0,19.26,36.634,224.2,0.28,0.0,28.98,5.86,4.8,11.59
1993-03-10,1993,3,10,69,20.0,19.231,36.633,223.9,0.27,0.0,20.64,4.17,5.3,13.74
1993-03-10,1993,3,10,69,40.0,19.268,36.637,223.7,0.25,0.0,31.71,6.33,7.3,13.27
1993-03-10,1993,3,10,69,60.0,19.238,36.633,223.3,0.25,0.0,25.35,5.72,6.1,7.47
1993-03-10,1993,3,10,69,80.0,19.263,36.637,222.9,0.25,0.0,24.42,5.46,5.7,2.9
1993-03-10,1993,3,10,69,100.0,19.231,36.634,222.5,0.35,0.0,19.65,4.38,4.9,0.93
1993-03-10,1993,3,10,69,120.0,19.252,36.631,222.0,0.43,0.0,24.32,5.72,5.5,0.21
1993-03-10,1993,3,10,69,140.0,19.222,36.632,221.1,0.54,0.0,23.16,4.84,5.2,0.03
1993-03-30,1993,3,30,89,1.0,20.335,36.703,224.2,0.0,0.0,26.46,4.93,5.2,4.53
1993-03-30,1993,3,30,89,20.0,20.133,36.709,225.1,0.0,0.0,25.31,4.6,5.6,1.16
1993-03-30,1993,3,30,89,40.0,19.968,36.71,225.4,0.0,0.0,26.23,4.73,5.8,2.11
1993-03-30,1993,3,30,89,60.0,19.909,36.705,225.5,0.0,0.0,29.59,5.13,6.4,4.06
1993-03-30,1993,3,30,89,80.0,19.794,36.696,224.0,0.0,0.0,24.88,5.5,5.5,6.66
1993-03-30,1993,3,30,89,100.0,19.429,36.653,223.7,0.0,0.0,24.13,5.86,6.0,1.26
